ticker,quarter,employer,status,visa,title,soc,wage_annual,wage_level,state,positions
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Assoc Manager,Computer Systems Analysts,149344,III,CA,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,Systems Analyst,Computer Systems Analysts,114789,II,NC,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,94682,II,NJ,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,92581,II,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Consultant 2 - Functional,Computer Systems Analysts,92248,II,TX,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Programmer/ Developer 3,Computer Programmers,125000,III,NH,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,90605,II,TX,5
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Business Analyst,Computer Systems Engineers/Architects,99611,II,CA,1
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Technical Lead,Information Technology Project Managers,80974,II,TX,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Technical Lead L1,Computer Programmers,74214,II,NC,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,90501,II,MA,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Designer,Computer Systems Analysts,92331,II,NC,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,139443,II,CA,5
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Techno Functional Consultant L2,Computer Systems Analysts,92248,II,TX,6
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 1,Information Technology Project Managers,94682,II,NY,5
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,82285,II,IN,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,144310,IV,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,92581,II,TX,5
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,System Administrator,Network and Computer Systems Administrators,85218,II,GA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,140000,III,TX,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Software Product Bus Arch Assoc Manager,Computer Programmers,138500,III,VA,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,SW/App/Cloud Tech Support Manager,Computer Programmers,156600,IV,MD,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,SA JC60 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,82389,II,FL,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,Software Engineer,Software Developers,103126,II,VA,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Technical Architect,Electrical Engineers,122200,II,MD,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Technical Lead,Computer Programmers,87843,II,TX,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Developer,Computer Programmers,98301,II,NJ,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,118456,III,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Business Analyst,Computer Systems Engineers/Architects,118500,II,DC,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,Software Architect,Software Developers,105976,II,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Technical Lead,Computer Programmers,130000,II,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,90605,II,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,108243,III,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Technical Specialist,Computer Systems Engineers/Architects,88150,II,IL,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Technical Lead,Information Technology Project Managers,86445,II,GA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,81765,II,CT,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Assoc Manager,Information Technology Project Managers,126256,III,NC,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Programmer,Computer Programmers,79435,II,FL,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,86445,II,GA,5
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Architect - US,Computer Systems Engineers/Architects,100090,III,IN,5
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Software Developer,Software Developers,109283,II,GA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,94682,II,NY,5
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,82846,II,IL,5
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,140795,IV,NC,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 2,Information Technology Project Managers,117582,III,PA,5
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Architect,Computer Systems Engineers/Architects,86798,II,NC,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Developer,Computer Programmers,76835,II,IL,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Electronics Engineer 3,"Electronics Engineers, Except Computer",146786,III,CA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Associate JC60 - Software Developers,Software Developers,126090,II,VA,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,Systems Administrator,Network and Computer Systems Administrators,145000,II,GA,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Lead Business Analyst,Computer Systems Engineers/Architects,130000,II,WA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,80163,II,CT,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Applications Consultant 2,Software Developers,140000,II,LA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,118456,III,TX,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Developer,Computer Programmers,79893,II,NY,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Test Lead,Software Quality Assurance Analysts and Testers,108680,II,WA,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Software Developer,Software Developers,113547,II,NC,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Technical Lead L1,Computer Programmers,95514,II,CT,3
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 2,Information Technology Project Managers,107640,III,IL,5
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Developer,Computer Programmers,104541,III,CA,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,"Software Developer, Systems Software",Software Developers,108556,II,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,111550,II,WA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,126256,III,NC,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Management Analyst,Management Analysts,109803,II,WA,1
LTIM,FY2025_Q4,LTIMINDTREE Limited,Certified,H-1B,Information Technology Project Managers,Information Technology Project Managers,94683,II,NJ,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,SA JC60 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,69534,II,MO,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,69618,II,NC,5
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Consultant 3,Computer Systems Analysts,104936,III,WI,5
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,126256,III,NC,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Systems Analysts,Computer Systems Analysts,103918,II,NJ,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Project Manager,Information Technology Project Managers,107125,II,TX,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Applications Consultant 2,Software Developers,150000,II,NJ,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,"Software Developer, Systems Software",Software Developers,103334,II,TN,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Consultant 2,Computer Systems Analysts,81702,II,IL,5
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Technical Manager,Information Technology Project Managers,109884,II,NJ,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Infrastructure Consultant 2 - Network and Desktop Support,Network and Computer Systems Administrators,72946,II,WI,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,139443,II,CA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,111550,II,WA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,90501,II,MA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Management Analysts,Management Analysts,97864,IV,CA,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Project Manager,Information Technology Project Managers,82112,II,OH,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Enterprise Architect 3,Computer Systems Engineers/Architects,175000,III,PA,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Developer,Computer Programmers,77022,II,NY,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,92581,II,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Technical Lead,Computer Programmers,107203,II,CA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Senior Technical Manager - US,Information Technology Project Managers,144310,IV,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Systems Analyst - III,Computer Systems Analysts,106974,III,PA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 2,Information Technology Project Managers,118456,III,TX,5
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Software Developer,Software Developers,120000,II,NC,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Associate JC60 -Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,92581,II,TX,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Application Developer,Computer Systems Analysts,85238,II,OH,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 1,Information Technology Project Managers,81765,II,CT,5
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,Network Architect,Computer Network Architects,113818,II,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Package Consultant 2,Computer Systems Engineers/Architects,84198,II,MI,5
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Programmer/ Developer 3,Computer Programmers,130000,III,NC,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Consultant 2,Computer Systems Engineers/Architects,94952,II,NC,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Specialist Programmer,Computer Programmers,62837,II,NC,5
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,140795,IV,NC,1
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Architect,Computer Systems Engineers/Architects,86445,II,GA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,140000,III,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,126818,III,NJ,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,82285,II,IN,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Programmer/ Developer 3,Computer Programmers,97805,III,IL,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,105373,III,PA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,144310,IV,TX,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Project Analyst 2,Information Technology Project Managers,94682,II,NY,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Associate JC60 -Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,94952,II,NC,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,H-1B,Client Partner L2,Sales Managers,169478,III,SC,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Assoc Manager,Computer Systems Analysts,161179,III,CA,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Technical Lead,Information Technology Project Managers,92581,II,TX,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,Applications Analyst,Computer Systems Analysts,115170,II,WA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Architect - US,Computer Systems Engineers/Architects,118456,III,TX,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified - Withdrawn,H-1B,Programmer/ Developer 3,Computer Programmers,118000,III,TX,1
CAP,FY2025_Q4,Capgemini America Inc,Certified - Withdrawn,H-1B,Test Consultant 3,Software Quality Assurance Analysts and Testers,112200,III,SC,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified - Withdrawn,H-1B,Software Engineer,Computer Programmers,125000,II,TX,1
WIT,FY2025_Q4,WIPRO LIMITED,Withdrawn,H-1B,Platform Development Architect L2,Computer Systems Engineers/Architects,92581,II,TX,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Network and Computer Systems Administrator,Network and Computer Systems Administrators,86965,II,TX,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Architect Advanced,Information Security Analysts,140000,II,NJ,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Software Developer,Software Developers,112923,II,TX,1
HCLTECH,FY2025_Q4,HCL GLOBAL SYSTEMS INC,Certified,H-1B,FULL STACK ENGINEER,Software Developers,134971,III,TX,1
MPHASIS,FY2025_Q4,Mphasis Corporation ,Certified,H-1B,Software Programmer II,Computer Programmers,125000,II,TX,1
DXC,FY2025_Q4,"AvidXchange, Inc.",Certified,H-1B,Senior Manager of Software Development,Computer and Information Systems Managers,210000,II,NC,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Test Lead,Software Quality Assurance Analysts and Testers,92810,II,TX,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Senior Business Analyst,Software Developers,158936,II,CA,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Delivery Project Lead,Data Warehousing Specialists,150000,II,CA,1
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Architect,Computer Systems Engineers/Architects,92581,II,TX,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Senior Technical Staff Member,Information Technology Project Managers,230479,IV,GA,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Programmer I,Computer Programmers,90000,I,TX,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Manager,Computer Systems Analysts,140300,IV,NC,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Database Administrator,Database Administrators,130000,II,NJ,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Software Developer,Software Developers,109845,II,DE,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Sr Program Manager,Information Technology Project Managers,157560,III,NC,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,E-3 Australian,Enterprise Architect 4,Computer Systems Engineers/Architects,235000,IV,MA,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Manager,Computer Systems Analysts,138300,IV,NC,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Systems Engineer/Architect,Computer Systems Engineers/Architects,92581,II,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Technical Lead,Computer Programmers,87714,II,SD,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer and Information System Manager,Computer and Information Systems Managers,137966,II,WI,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Group Technical Architect,Computer Systems Engineers/Architects,139298,III,WA,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Systems Engineer/Architect,Computer Systems Engineers/Architects,86446,II,GA,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Software Developer,Software Developers,100547,II,OH,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Engineer,Computer Programmers,91800,II,NE,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Engineer,Computer Programmers,130000,II,DE,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Maximo Technical Architect,Software Developers,210000,IV,LA,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Engineer,Computer Programmers,90000,II,TX,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Engineer,Computer Programmers,91800,II,NE,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Information Technology Project Manager,Information Technology Project Managers,126256,III,NC,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Engineer,Computer Programmers,98000,II,TX,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Product Manager,Computer and Information Systems Managers,217568,IV,TX,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Software Release Manager (Technical Program Manager),Software Developers,249046,IV,WA,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified - Withdrawn,H-1B,Software Engineer,Computer Programmers,107494,II,MI,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Withdrawn,H-1B,Senior Project Manager,Information Technology Project Managers,122262,II,NC,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Computer Systems Engineer/Architect,Computer Systems Engineers/Architects,80974,II,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Mgr. JC50 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,110198,III,TX,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,Software Architect,Software Developers,112923,II,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Mgr. JC50 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,110198,III,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Senior Business Specialist,Computer Systems Engineers/Architects,94682,II,NJ,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Programmer II,Computer Programmers,100300,II,NC,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Program Manager,Information Technology Project Managers,123281,III,AZ,1
WIT,FY2025_Q4,WIPRO LIMITED,Certified,E-3 Australian,Application Architect L1,Computer Systems Engineers/Architects,94682,II,NJ,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Project Manager,Information Technology Project Managers,116251,III,NJ,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Engineer,Computer Programmers,95118,III,TX,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Engineer,Computer Programmers,120000,II,DE,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Developer,Computer Programmers,74214,II,NC,1
INFY,FY2025_Q4,NOUS INFOSYSTEMS INC,Certified,H-1B,Program Manager,Information Technology Project Managers,115000,II,TX,1
G,FY2025_Q4,Genpact LLC,Certified,H-1B,Vice President,General and Operations Managers,260000,IV,CA,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Developer,Computer Programmers,77418,II,TX,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Assoc Manager,Computer Programmers,119100,III,NC,1
MPHASIS,FY2025_Q4,Mphasis Corporation ,Certified,H-1B,Software Programmer II,Computer Programmers,125000,II,TX,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Application Developer,Software Developers,150771,III,TX,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Software Engineer 2,Software Developers,153500,II,TX,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Applications Consultant 2,Software Developers,112424,II,NC,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Technical Lead,Information Technology Project Managers,92581,II,TX,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Engineer,Computer Programmers,77022,II,OH,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Infrastructure Project Lead 1,Information Technology Project Managers,86403,II,CA,5
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Database Administrator,Database Administrators,130000,II,NJ,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Sr Mgr JC45-Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,120474,IV,CT,1
LTIM,FY2025_Q4,LTIMINDTREE Limited,Certified,H-1B,Senior Specialist - Package Implementation,Network and Computer Systems Administrators,140000,II,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Technology Project Lead 2,Information Technology Project Managers,100090,III,IN,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Network Administrator - II,Network and Computer Systems Administrators,84424,II,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Domain Consultant 2,Management Analysts,101816,II,NJ,5
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Test Specialist,Software Quality Assurance Analysts and Testers,97365,III,GA,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Manager,Computer Programmers,163600,IV,NJ,1
LTIM,FY2025_Q4,LTIMindtree Limited,Certified,H-1B,Network and Computer Systems Administrator,Network and Computer Systems Administrators,81162,II,AZ,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Information Security Analysts III,Information Security Analysts,128253,III,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Project Manager,Information Technology Project Managers,105222,II,TX,1
MPHASIS,FY2025_Q4,Mphasis Corporation,Certified,H-1B,Software Architect,Computer Systems Engineers/Architects,145000,II,OH,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Applications Consultant 3,Software Developers,120349,III,MI,1
MPHASIS,FY2025_Q4,Mphasis Corporation ,Certified,H-1B,SOFTWARE PROGRAMMER II,Computer Programmers,130000,II,TX,1
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,92581,II,TX,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Software Product Arch Assoc Manager,Software Developers,163100,III,NC,1
IBM,FY2025_Q4,IBM Corporation,Certified,H-1B,Senior QA Engineer,Software Quality Assurance Analysts and Testers,128461,III,VA,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,IT Operations Associate Manager,Network and Computer Systems Administrators,124717,III,MD,1
HCLTECH,FY2025_Q4,HCL GLOBAL SYSTEMS INC,Certified,H-1B,SOFTWARE DEVELOPER,Software Developers,114754,II,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Mgr. JC50 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,110198,III,TX,1
HCLTECH,FY2025_Q4,HCL AMERICA INC,Certified,H-1B,Domain Consultant,Management Analysts,131560,IV,TX,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Programmer/ Developer 2,Computer Programmers,101503,II,CT,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Manager,Computer Programmers,154000,IV,MD,1
TECHM,FY2025_Q4,"TECH MAHINDRA (AMERICAS), INC",Certified,H-1B,Computer Programmer,Computer Programmers,155000,II,TX,1
